Genes	Ss30.1	Bc12	Ch40.2	Ch22.2	Ch22.1	Ch22	Ss30.2	Ch22.3	Bc12.1	Bc24.1	Bc18.1	Ch40.3	Ch40.1	Bc18	Bc24	Ss30	Ch40	High_TPM
AT1G02500	600.9928016833339	341.62507348960406	433.7785652612204	724.6791065921104	636.9420470027808	647.1772085085428	736.991240876183	716.6238663511438	322.8924475974306	1170.7681915217868	472.20658071516436	436.8435814390205	547.1057553522943	540.6891842424787	1098.1699516508463	644.635285891364	552.3587460473982	2
AT1G02920	9370.595761615305	49.210865865484145	10852.45864000363	3507.6560120665117	4883.756755130609	4871.9547895201895	10108.29343350128	3494.009311180066	52.26624921641639	6444.846179697473	1348.325181226183	10902.9141927376	6774.556985540844	1130.5627214061715	4785.218648573163	8053.432458250421	6719.242639753362	15
AT1G02930	10495.970859127416	468.08215239526186	10546.157935314359	5719.098669792471	7259.481373432768	7367.31211993828	10318.124013374929	5700.650670832389	234.50055917957772	6654.997709291531	2284.8438797262875	10543.77865117771	8023.171478475368	2022.8989400458825	5162.681123047774	11489.899457959229	8043.907244761645	15
AT1G03130	5.209762845872	297.8058235091925	104.8485291417836	414.833737169339	531.7136964328865	544.3762498874639	13.033919615107305	415.52244954078265	332.89580270148286	729.3339533421374	1781.8398482058822	105.5487153704092	257.11677234684464	1678.0155670502554	827.3389389014783	4.581019600825041	258.05671722369993	2
AT1G03220	4504.905769462632	17.322697175569576	1132.6726421456951	51.43101541553458	83.0581228909401	89.19413570124745	4640.672270426012	52.529261612071416	18.821943226818505	791.2823053767656	40.57127594323896	1159.0844182327694	636.1759414039002	33.48350492330563	647.6710434081542	4302.708746211448	626.6337984767749	5
AT1G03680	7.315077968518902	990.0090116995523	45.43545951852668	128.00051747904106	111.86988719189388	126.39871990778505	10.751867764688257	124.2733258682668	1037.4614870513	211.97040163326042	515.95415080061	50.127134666748546	69.81992994233747	450.44750181370176	236.0567970156584	10.52550580762416	73.99899594322285	2
AT1G05010	714.3506288590535	500.7021256829165	1877.0178805563025	1128.7801467451002	1415.5314603684092	1420.7715231208497	1217.7579869056008	1127.478150397546	407.90405689289236	1262.5111097613785	1229.5976810132345	1865.2896377125744	1716.1984683814196	1272.2953155308255	1083.7714337357063	1352.806363113292	1717.5947651525873	14
AT1G06680	11.929216964356348	2328.829861154349	114.43009333802458	509.30547710897173	458.8379331270411	456.69134746786506	10.6063912826224	519.1248044217605	2435.9792772170113	739.9472280691879	2893.4326430176457	115.1053531276496	249.5741233903193	2332.1273634178838	862.8808487707357	9.858693491022466	256.0324743635187	5
AT1G07135	3305.229556055866	15.6771212158885	599.0348138894858	201.2114845884196	171.19162494349285	178.09638330152438	2657.822997668118	179.36969590751545	20.194038432728924	60.87930270758544	48.21326742567025	619.7079424398486	449.04279677032866	29.46098469561009	56.79304654321751	2612.6494479833577	476.82789502052833	3
AT1G07600	505.895392138623	990.083964763561	2513.111297100544	822.6886154559369	1351.5550138412045	1334.4767598495414	705.702556768202	823.1727495952881	1164.6569556100733	510.4635160026197	964.115134705914	2524.963980330239	2095.783427480838	901.2765655711572	336.37244303343164	810.0274828314012	2114.5142888791656	10
AT1G07890	1653.1791404978535	558.8548619601007	1859.7554291754568	1127.459236913895	1213.0960067863964	1205.4839483185049	1977.4976766986733	1091.973734036956	624.8780399158984	1180.1325780434402	317.924081997794	1849.7590158712135	1476.1254831067215	426.78634744550413	1032.6428430042954	1648.5864620460998	1494.4822884156806	13
AT1G07930	730.6016384045787	179.68476233740162	269.06777382638245	368.3168102666729	363.1274942532169	371.66864638726713	777.3165823052942	368.9850567908096	192.7122596429905	420.7389735056348	329.3695164364497	267.7310164772402	317.32212416640664	397.1160155549443	460.0307515664132	895.9791293195915	322.1432963353852	1
AT1G08380	17.724013641502616	1455.600824487908	96.11255964649796	455.14985549154017	514.6110809014068	507.9488989269237	22.054507663945998	470.87007917543053	1641.5287694604624	487.1070254358902	1823.5181543641995	97.15739617441541	257.91680178294996	1414.278230062414	594.9009893829705	20.18342010393147	242.20595275438018	4
AT1G08830	430.33311703090936	52.3805733978431	1401.6118163711158	1488.4399141333704	1333.8894665538628	1310.4832987505088	634.9343023729385	1484.5535740433395	47.642003556091865	695.3252306307747	59.4239990118185	1379.9134104375034	1368.2292743361122	57.02462975646597	644.9139853018646	482.3542358663804	1395.674283365041	8
AT1G09070	1508.581294755157	149.3855461638442	1414.687746964005	680.5419545412768	679.2413451835204	676.3787665068104	1398.2538310786827	676.8166176188593	132.9988763755542	433.56750803511255	254.02785739441512	1410.3974227507128	1207.1800389910127	256.96712593930994	389.82747147264496	1385.6783414943154	1215.0752904162512	7
AT1G09310	0.8476201455585395	3508.423601292025	239.7872358966592	3063.333068700584	1945.9516096581067	1907.7426252566645	1.1133139671237486	2986.3480950216176	3408.3153672305993	446.07925438467146	1057.253417780899	237.52380622460103	915.7763656583174	820.9420294101178	580.1472807774718	0.4742974839238047	913.7741914759006	9
AT1G09340	0.7143423778409853	1044.325853398113	9.019170216371892	33.2029043628283	18.514113700164508	18.913384267147	1.4073887060011494	33.717981516583556	1055.8831253707547	95.16953196377509	481.06261961394927	10.157787386648176	14.3326762535437	280.1455396380689	107.50571385449629	0.4996501001148157	16.570550250635723	2
AT1G09560	450.94758872981333	56.977064203981854	1646.0129657015314	490.5701867532535	673.1471319034816	664.436044666387	483.7528753921579	507.1381232509092	55.24198135404804	1294.8287087246765	183.6118920378207	1658.177237308501	1339.3780738427006	206.67491706049415	1188.797546343907	288.13572148371134	1342.219552251024	6
AT1G10140	1144.7412787248634	14.287746716596795	467.619595219372	65.73973107584608	107.79509430837963	108.28962696561608	1246.9116431785985	68.7269150635112	6.541258296315847	455.4360733229802	90.92712561009571	486.59550289294594	299.68441183873506	88.3228296282678	359.13488646221754	1684.0948518465948	269.8006632330559	3
