Genes	Bc24	Ch40.3	Ch40	Ss30	Ss30.1	Bc12	Bc18	Ss30.2	Bc18.1	Bc12.1	Ch22	Ch22.1	Ch40.1	Ch22.2	Bc24.1	Ch22.3	Ch40.2	zero-counter
AT1G01090	11.240791332161958	9.197216693110052	9.074141462752506	8.581200581924957	8.668884984266247	10.417852514885896	10.787086324551618	9.501837184902298	10.422064766172811	10.658211482751797	9.726218159332197	9.640244936222343	9.264442600226602	9.643856189774723	11.102631888854965	9.746514321138463	9.330916878114618	0
AT1G01120	9.481799431665753	7.918863237274595	8.675957032941751	11.51224664282918	12.283088353024	11.527477006060396	8.971543553950774	12.009478745888064	10.094077685671904	11.90388184573618	8.994353436858859	9.047123912114026	8.507794640198696	10.29232163280204	9.370687406807216	10.277287400130355	8.011227255423254	0
AT1G01140	11.418906731257902	10.277287400130355	10.348728154231075	9.214319120800766	9.136991112080231	10.660887270302569	11.643856189774725	9.513727595952435	10.801708358916464	11.00982861736811	10.50084187955693	10.54882190845875	10.328674927327947	10.82097669262124	11.549303368513575	10.767356854125683	10.287712379549447	0
AT1G01180	9.533329732305834	8.558420713268664	8.562242424221072	7.930737337562888	7.948367231584678	8.409390936137703	8.997179480937621	8.022367813028454	8.379378367071261	8.321928094887364	8.280770770130601	8.467605550082997	8.59618975614441	8.335390354693924	9.403012023574997	8.330916878114618	8.388017285345137	0
AT1G01440	9.651051691178928	9.266786540694902	8.98299357469431	8.370687406807217	9.087462841250339	8.39231742277876	8.731319031025064	8.807354922057604	8.294620748891628	8.499845887083206	8.693486957499324	8.63662462054365	9.00842862207058	8.543031820255237	9.675957032941751	8.668884984266247	9.231221180711186	0
AT1G01490	11.281350514981035	10.373952655370193	10.094077685671904	9.569855608330947	9.550746785383243	9.799281621521924	11.514220909358132	9.773139206719689	10.709083812550343	9.823367240046236	10.59245703726808	10.522581531254831	10.105908508571158	10.14338321398982	11.312882955284355	10.047123912114026	10.414685235807212	0
AT1G01550	11.963257356633049	11.785861105759599	11.505811553919596	11.350386742312846	11.399277924508967	11.383704292474054	11.71510400923617	11.605479518061669	11.149111990706887	11.543031820255234	11.410451351503994	11.495355392235982	11.517669388133813	11.334831928118	12.028596777067108	11.252665432450248	11.813380386924727	0
AT1G01710	9.99859042974533	8.665335917185175	8.945443836377912	8.543031820255237	9.076815597050832	9.224001674198103	9.301496194982551	9.025139562278508	8.768184324776927	9.483815777264255	9.283088353024002	9.187352073200497	8.900866807980748	9.162391328756906	10.027905996569883	9.177419537989236	8.710806433699354	0
AT1G01720	9.99859042974533	10.184875342908283	9.573647187493322	9.321928094887364	9.873444112515378	8.0	8.611024797307353	10.040289721025717	7.994353436858858	8.071462362556622	9.301496194982551	9.287712379549447	9.599912842187127	9.296916206879287	10.176173149107491	9.353146825498083	10.178664851006472	0
AT1G01820	10.703903573444665	9.808964174919259	9.748192849589461	9.943979914343739	9.984418458801137	9.754887502163466	10.14974711950468	10.135709286104401	9.41574176829009	9.971543553950774	9.988684686772164	10.052568050804153	9.751544059089099	9.851749041416056	10.717676423066397	9.72451385311995	9.857980995127571	0
AT1G01910	9.923327485419193	9.076815597050832	8.714245517666122	8.164906926675688	8.005624549193879	8.48784003382305	9.09275714091985	8.447083226209653	8.370687406807217	8.689997971419446	8.832890014164743	8.78135971352466	8.62935662007961	8.550746785383243	9.930737337562887	8.507794640198696	8.885696373339394	0
AT1G02080	12.277868546176839	10.828929827651486	10.832098846039132	8.214319120800766	8.294620748891628	10.986553149756661	11.25974326369078	9.084808387804364	10.777255315191924	11.349281228817453	11.31628153174622	11.348174867535555	10.882643049361839	11.42940674151398	12.166163082646113	11.406736482691723	10.850968150982439	0
AT1G02170	10.816183681432342	9.689997971419444	9.567956075415466	10.3409627642517	10.497851836951117	8.317412613764871	9.24555270625568	10.458406613236534	8.72451385311995	8.535275376620802	9.226412192788787	9.280770770130603	9.499845887083207	9.18239435340453	10.900112062977456	9.131856960608793	9.668884984266247	0
AT1G02500	13.838809985708561	11.539158811108035	11.77561028075954	11.539158811108035	11.600377553107846	11.537703747907646	12.249113452713726	12.086136225027307	11.640244936222345	11.762382038710392	12.099347810403195	12.096715154488535	11.760304125286384	12.26238852375102	13.91951513447358	12.227014193649133	11.526988205432007	0
AT1G02780	12.634811050171717	11.333714426093971	11.603626344986193	9.199672344836364	9.20945336562895	11.818582177480858	12.26209484537018	10.034798962577268	11.4757334309664	11.97477306788934	11.778487861222372	11.793603309279408	11.582141981658776	11.944346034137833	12.54399845013454	11.887982133058456	11.303209948944776	0
AT1G02890	11.38478375009335	10.617467465294196	10.417852514885896	9.710806433699352	9.776433032444732	10.634811050171717	10.846273911349908	10.161131882984307	10.429406741513981	10.863411958941636	10.697836357962377	10.720244258287568	10.453270634010622	10.536247215688128	11.413627929024171	10.452241240430816	10.659995892429976	0
AT1G02920	15.434693376772678	15.652620934638165	14.85233443198643	14.65424442508658	15.035142747885908	8.219168520462162	12.785656801427193	15.336053205631792	12.6261653199045	8.611024797307353	14.483815777264256	14.507670777134367	14.862637357558794	14.009741157452293	15.852602656635856	13.984863446633813	15.6439125439491	0
AT1G02930	15.559974504523744	15.620047956744347	15.127671967038982	15.182665919530676	15.214508856724455	11.480285320936373	13.640696837570093	15.381441558821088	13.40274562249569	10.78953364497036	15.096179808726713	15.095273386178631	15.122423595354176	14.730735470170254	15.914642065969494	14.706819746333812	15.61835682244426	0
AT1G03060	11.506803437795648	10.955649907528374	10.684748620421626	10.224001674198103	10.635718120331047	10.062046137720492	10.266786540694902	10.602698865017963	9.987264012072536	10.547858506058416	10.815383295813536	10.899356922923115	10.742309436084001	10.891024190149498	11.447599858279949	10.875749351420056	10.921097088106793	0
AT1G03080	11.734286232096348	11.196602126523173	11.122180901259751	10.257387842692651	9.978710459106358	10.397674632948268	10.947636937951827	10.667111542075027	10.20945336562895	10.749869427396844	11.380461065088973	11.36796070964157	11.127349541059118	11.29920801838728	11.907641803665529	11.226412192788787	11.136991112080231	0
AT1G03370	11.084144010615145	10.673309075561695	10.484822894262146	9.44086916761087	10.048486873992335	9.049848549450562	9.72451385311995	10.064742764750255	9.18239435340453	9.162391328756906	10.252665432450248	10.208234358339787	10.459431618637296	10.211888294546004	10.984418458801136	10.181152256865566	10.687375683437466	0
AT1G03740	11.706496018061188	11.494355603532846	10.97656412341533	10.3151495622563	10.397674632948268	9.055282435501187	11.040974598817305	10.727920454563199	10.205793249397157	9.226412192788787	10.924070185585343	10.932214751968385	10.99506046703272	10.641148597411233	11.70433597118232	10.639340708652233	11.469641817239516	0
AT1G03900	10.859534786382651	9.864186144654278	9.748192849589461	8.845490050944377	8.894817763307943	9.668884984266247	9.935165049603697	9.368506461507694	9.324180546618742	10.00842862207058	9.73978060977326	9.845490050944377	9.726218159332197	9.661778097771988	10.922584402713664	9.584962500721156	9.878050912728538	0
AT1G04140	11.670213636738564	9.967226258835991	10.090112419664287	8.654636028527968	8.577428828035746	10.226412192788787	10.61654884377899	9.250298417906333	10.030667136246944	10.499845887083207	10.41574176829009	10.384783750093352	9.98299357469431	10.457380879072533	11.572700226487294	10.496853777388043	10.079484783826816	0
AT1G04300	11.254438148267255	10.205793249397157	10.183635381473216	9.577428828035748	10.037546953962178	10.036173612553485	10.467605550082997	10.145932145820515	9.924812503605779	10.328674927327947	10.355351096424812	10.383704292474054	10.070120944476823	10.44190670454224	11.41732511767992	10.54496443278924	10.246740598493144	0
AT1G04410	13.638435913990474	12.392854039872873	12.626393504173993	10.125413470483316	9.700439718141093	12.19506456372082	12.450953464712992	10.391243589427443	11.789126046425233	12.719602727835632	12.92035285541508	12.938844457466171	12.607330313749609	12.8851243671041	13.52613240562841	12.874597192401636	12.382353833664512	0
AT1G04440	11.064742764750257	10.498849206531725	10.3151495622563	8.614709844115207	8.800899899920305	9.25502856981873	9.583082767502932	9.306061689428342	8.939579214314692	9.677719641641009	10.463524373271179	10.386940245324313	10.287712379549447	10.159871336778387	11.154818109052103	10.127994320976391	10.4542992936199	0
AT1G04750	10.634811050171717	9.721099188707186	9.631177055703981	8.543031820255237	9.055282435501187	9.388017285345137	9.511752653767381	9.409390936137704	8.74819284958946	9.558420713268664	9.5980525001616	9.552669097514272	9.700439718141093	9.531381460516313	10.650154213675094	9.477758266443887	9.753216749178957	0
AT1G04780	10.926295994781112	10.25502856981873	9.96000193206808	9.296916206879287	9.243173983472953	8.791162888555018	9.588714635582264	9.759888183221834	9.011227255423254	9.074141462752506	9.774787059601174	9.73809225962049	10.068778277985412	9.688250309133178	11.122827994807665	9.741466986401146	10.222794902868113	0
