Genes	healthy12	healthy24	healthy18	healthy30	healthy12	healthy18	healthy24	healthy30	zero-counter
AT1G01040	10.00562454919388	9.992938336165814	11.214926187942435	11.311748315004964	11.165535141377923	10.371776644337924	9.319672120946997	11.283667167491501	0
AT1G01050	9.733015321685963	9.419960177847887	11.379919817646535	10.581200581924957	10.854868383260236	10.250298417906333	8.668884984266247	10.817783121774532	0
AT1G01080	9.930737337562887	8.951284714966974	11.053247125912426	10.323054760341646	10.912889336229961	9.939579214314692	8.74819284958946	10.144658242831882	0
AT1G01090	10.324180546618742	10.422064766172811	11.934059394900794	12.310612781659527	11.452241240430816	10.813781191217036	9.91139198784346	12.558659867026508	0
AT1G01100	8.918863237274595	9.184875342908283	10.366322214245816	10.510764167917893	10.051208940914766	8.977279923499916	8.643856189774723	10.088788238716909	0
AT1G01140	10.758223214726724	11.129926933510394	12.013671614058635	11.786269627648466	11.947271652460348	10.800899899920303	10.430452551665534	12.211584153079526	0
AT1G01160	7.882643049361842	8.344295907915816	9.038918989292304	9.89178370321831	9.339850002884623	8.164906926675688	7.832890014164741	10.088788238716909	0
AT1G01170	8.974414589805528	9.20945336562895	10.405141463136344	11.018200178813226	10.14974711950468	9.388017285345137	8.535275376620802	11.196602126523173	0
AT1G01180	7.857980995127572	8.59618975614441	8.909893083770042	9.348728154231075	9.068778277985412	8.055282435501187	7.531381460516312	9.453270634010622	0
AT1G01220	9.221587121264808	8.675957032941751	10.499845887083207	9.177419537989236	10.269126679149418	9.4757334309664	8.011227255423254	8.62935662007961	0
AT1G01230	7.948367231584678	8.577428828035746	8.90388184573618	9.016808287686557	9.03342300153745	7.930737337562888	7.965784284662088	9.34207466799914	0
AT1G01240	7.383704292474053	9.893301530860565	8.348728154231077	9.661778097771988	8.303780748177102	7.774787059601174	9.326429487122304	9.677719641641009	0
AT1G01300	9.579315937580017	8.60733031374961	9.100662339005199	10.264442600226602	10.576484346796851	8.129283016944967	7.839203788096943	10.134426320220928	0
AT1G01320	12.851944197999499	12.021327032624376	14.554408983204773	13.553269295151956	13.897183690960901	13.453785055496152	11.497851836951115	13.397407244375383	0
AT1G01340	8.721099188707186	8.366322214245816	8.954196310386875	9.768184324776927	10.049848549450562	7.614709844115207	7.321928094887363	9.103287808412023	0
