Genes	Bc12	Ch40.2	Ch22.2	Ch22.1	Ch22	Ch22.3	Bc12.1	Bc24.1	Bc18.1	Ch40.3	Ch40.1	Bc18	Bc24	Ch40
AT1G02500	8.420486922269266	8.764137006511602	9.50318792302183	9.317281560004322	9.340244482646177	9.487084061210654	8.339371018078355	10.194471477272533	8.886326326637375	8.7742717523262	9.098310473475367	9.081321474980003	10.102198755068974	9.112071282057741
AT1G02920	5.649927698783186	13.4058672349068	11.776702797801978	12.254071007161954	12.250581122165107	11.77108058380369	5.735149790890813	12.654154045750289	10.398022357787319	13.412558493705518	12.726123832936468	10.144100838647157	12.22467058960513	12.714297608268698
AT1G02930	8.873696800093414	13.364566678481157	12.481824317888222	12.825849487434317	12.84711845960244	12.47716393549596	7.879586675195144	12.700439221627523	11.15851115731505	13.364241190925732	12.970136721681797	10.98292153796769	12.334184196151107	12.973860071888767
AT1G03130	8.22306445525784	6.725857411745658	8.699863000574215	9.057216563825246	9.091108064733373	8.702250445193469	8.383254147626738	9.512412493029332	10.799961396724028	6.735369388808879	8.011880080123426	10.713399890995452	9.69407739882467	8.017124182278677
AT1G03220	4.195559984534239	10.14678839431298	5.712348581248413	6.393315334791845	6.4949617293684145	5.742255846999451	4.309026497687816	9.629870771591628	5.377515124031589	10.180014077372181	9.315547984144924	5.107834513122043	9.341343228307545	9.293779234212519
AT1G03680	9.952754366333957	5.537155006575094	7.011233042732935	6.818516827403674	6.993206971356626	6.968935447736286	10.020231997262176	7.734509130159775	9.01389252187045	5.67601726978947	6.146083511450246	8.818414418285641	7.8890889491339085	6.228799376396822
AT1G05010	8.97068724050541	10.87499508357875	10.141826338665362	10.468146928180758	10.47347392898366	10.14016276999	8.675618566237006	10.303222634284847	10.265143463644819	10.865957186427979	10.745841075779937	10.314351347138638	10.083175376959831	10.747013690312507
AT1G06680	11.186008888712832	6.850875582299665	8.99521731602696	8.84498167209217	8.838231208208395	9.022714030560145	11.250878267859836	9.533226983973814	11.499064868344062	6.859290680089098	7.96909362604654	11.188049349616431	9.754688531397665	8.005806835744256
AT1G07135	4.059798368921641	9.228902397776949	7.659721127115751	7.427871164412366	7.484592393398771	7.494813160095157	4.405586608116771	5.951385034628795	5.620975399657022	9.277770796214622	8.81391839066708	4.928890674680771	5.852824018044398	8.90034726883699
AT1G07600	9.95286347767745	11.295832802447908	9.685955238542315	10.401471560105492	10.383139154875808	9.686802952988295	10.186927560973231	8.998487522297914	9.914557250664298	11.302618351432269	11.033962140738987	9.8174259055404	8.39819832723353	11.046792714825976
